	p009_MOUSE_Brain_adult	p009_MOUSE_Brain_e17	p009_MOUSE_shGFP	p009_MOUSE_shHRNPDL_3	p009_MOUSE_shHRNPDL_4	p009_MOUSE_shRFP	p021_ESC	p021_NSC	p021_SC	p021_iPSC	p022_EBs_BR1	p022_EBs_BR2	p022_EBs_BR3	p022_ESCs_BR1	p022_ESCs_BR2	p022_ESCs_BR3	p022_MEFs_BR1	p001_BRAIN_S1_SYSY	p001_BRAIN_S2_NEB	p001_BRAIN_S2_SYSY	p005_neural_WT	p005_neural_WT	p011_D-2	p011_D0	p011_D10	p011_D2	p011_D5	p011_siCtrl-BR1	p011_siCtrl-BR2	p011_siFTO-BR1	p011_siFTO-BR2	p027_HS	p027_NM	p010_mESC_WT	p010_mESC_WT_BR1	p010_mESC_WT_BR2
Gm10865	0	0	0	0	0	0	0	3.01	0	5.5	0	0	0	0	0	0	0	0	32.26	8.32	0	0.796945745	0	2.41	4.17	5.15	4.31	2.36	1.72	0	0	0	0	0	0	0
Gm10941	0	0	0	0	0	0	0	0	3.29	0	0	0	2	0	0	0	0	3.46	25.9	0	4.12	4.621612199	0	0	14.2	0	6.78	10.9	3.23	0	0	0	0	0	0	0
Gm1110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.7	0	0	0.472549722	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm11110	0	32.2	22.4	16.5	22.5	7.91	0	0	0	0	0	0	0	0	0	0	10.1	0	13.6	12.2	9.33	10.15413513	0	0	0	0	0	0	0	0	0	0	0	9.39	14.3	0
Gm11127	0	6.06	0	0	0	0	0	2.61	0	0	2.95	2.01	2.43	0	0	7.8	0	3.09	25	2.94	0	0.48956598	2.97	0	3.8	5.34	5.76	7.47	13.99	27	27.1	0	0	0	0	0
Gm11149	0	3.6	0	0	0	0	0	602	1.64	0	0	0	0	0	0	0	0	0	0	0	0	0.96019355	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm11166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.3	0	0	0.091806194	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm11186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.3	0	0	0.962501451	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm11190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.9	7.68	0	0.563279235	0	0	0	0	0	0	0	0	0	0	0	14.4	0	0
Gm11201	28.01	3.73	10.2	0	0	10.5	3.68	0	2.08	5.31	28.8	18	0	15.9	17	0	4.28	0	83.8	18.24	5.26	5.38476	0	37.99	22.17	27.2	51.9	20.98	20.6	4.58	3.13	0	0	19.4	0	7.74
Gm11213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.6	0	0	0.4659809	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm11346	0	15.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.5	11.9225252	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm11413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.404575694	0	0	0	0	0	0	0	0	0	0	0	3.57	4.68	0
Gm11423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0.128535793	0	0	0	0	0	0	0	0	0	0	0	10.78	9.43	0
Gm11426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87.3	27.5	0	0.966863275	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm11437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.7	0	0	0.709170368	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm11468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.5	0	0	0.923154723	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm11517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.4	0	0	0.966846047	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm11529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.2	0	15.9	16.46069931	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm11532	0	0	0	0	0	0	0	0	0	12.02	34	141.61	10.9	68.69	144	43.6	0	0	201.7	60.22	0	0.25369321	0	0	0	0	0	0	0	0	0	0	0	25.02	13.2	15.5
Gm11538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.9	9.6	0	0.507028998	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm11544	0	0	0	0	0	0	2.43	0	0	0	0	0	0	0	0	0	0	0	68.2	0	0	0.851696943	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm11545	0	0	0	0	0	0	4.11	0	0	3.1	26.2	0	0	88.9	0	0	0	0	109.1	8.32	0	0.327636216	0	0	0	0	0	0	0	0	0	0	0	32.9	23.4	37.2
Gm11548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.6	0	0	0.949984953	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm11549	135	0	0	0	0	0	0	25.8	0	0	0	0	0	0	0	0	10.1	28.3	27.5	15.9	21.5	21.81021676	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm11627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.529495121	0	0	0	0	0	0	0	0	0	0	0	3.26	4.91	0
Gm11651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0.61089595	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm11681	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.4	0	12.6	12.69506113	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm11696	0	0	0	0	0	0	7.96	1.72	0	1.87	4.58	6.98	3.57	0	0	0	3.62	4.41	19.1	16	0	0.317404792	0	19.83	48.33	17.3	31.15	6.31	9.76	3.23	8.36	0	0	0	0	0
Gm11715	6.62	21	1.71	0	0	0	0	0	0	0	0	4.51	0	38.1	0	0	6.61	7.81	14.3	9.92	5.16	5.404183662	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm11729	0	19.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58.6	11.5	0	0.0870525	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm11733	12.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	11	11.10750086	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm11744	11.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.171275379	0	7.23	73.5	50.3	58.9	7.01	31.64	0	0	0	0	0	0	0
Gm11747	49	63	12.9	21.8	11.6	10.6	0	13.7	12.83	12.4	0	0	0	0	0	0	184	42.8	66.8	28.2	59.8	60.32583801	0	20.8	19.7	11.3	12.3	12.1	10.4	5.57	9.87	0	81.1	30.7	18.2	0
Gm11762	51.4	18.2	0	0	0	0	0	9.67	0	0	0	0	0	0	0	0	0	15.3	79.1	26.86	21.4	21.66705061	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm11837	3.11	15.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.2	3.900345419	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm11944	0	0	10.9	0	0	0	0	0	0	0	0	0	0	0	0	0	10.7	0	0	0	8.41	8.486176289	0	0	0	0	0	0	0	0	0	0	0	2.77	0	0
Gm11961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.3	0	0	0.465255383	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm11978	0	0	0	9.77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.12	7.68	7.69620397	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm11981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.4	0	0	0.334377746	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm11985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0.591388007	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm11992	0	0	0	0	0	0	0	0	0	0	18.3	0	0	0	0	0	0	0	0	0	2.82	2.972491944	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm12070	10.5	0	2.8	0	4.56	0	0	0	0	0	0	0	0	0	0	0	0	16.3	105	28.2	0	0.538194175	0	0	0	0	0	0	0	0	0	0	0	0	2.02	3.49
Gm12108	22.2	42	0	0	0	0	0	12.9	0	0	0	0	0	0	0	0	0	26.5	61.3	8.32	15.9	16.54912072	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm12185	0	0	0	0	0	0	0	0	0	0	3.14	3.53	2.01	0	0	6.32	0	6.77	9.66	0	0	0.57651622	0	0	0	0	0	0	9.49	0	0	0	0	0	0	0
Gm12191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.49	1.99410153	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm12216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.6	0	0	0.299931789	0	8.83	31	20.6	13.9	19.3	10.1	0	0	0	0	0	0	0
Gm12250	0	0	24.4	0	0	0	0	0	0	15.1	0	0	0	0	0	0	0	0	62.7	27.5	76.33	76.65414882	0	0	0	0	0	8.37	14.2	0	0	0	0	10.6	0	0
Gm12253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0.199142523	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm12260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.7	0	0	0.841425195	0	0	0	0	0	0	14.8	0	0	0	0	0	0	0
Gm12295	0	0	0	0	0	0	0	0	9.05	0	0	0	0	0	0	0	0	0	23.2	0	0	0.774767188	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm12298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.4	0	0	0.952208525	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm12359	12.8	30.8	2.37	3.26	14.36	4	7.82	24.86	1.9	15.07	20.59	32.28	0	21.6	59.4	0	28.78	16.3	3.12	4.67	3.97	4.082221711	0	19.56	21.42	12.07	17.49	10.88	10.47	0	4.22	0	0	1.8	0	0
Gm12409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.6	0	0	0.350395979	0	0	0	0	0	0	0	0	0	0	0	13.6	0	0
Gm12504	10.5	28	11	13.6	7.98	8.37	7.67	0	0	0	0	0	0	0	0	0	0	0	62.7	8.96	3.57	4.322317904	22.5	0	0	0	0	0	12.5	0	0	0	0	0	4.33	8.1
Gm12505	0	7.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.54	0	0	0.423387964	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm12522	12.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.6	11.2	19.1	8.32	23.08	23.58155068	0	0	12.4	47.4	14.8	18.4	11	0	0	0	0	3.28	0	0
Gm12530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.3	0	0	0.326670705	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm12603	0	0	4.21	18.8	7.15	4.59	0	0	0	0	0	0	0	0	0	0	8.18	0	0	0	0	0.140477474	0	0	0	0	0	0	0	4.45	0	0	0	0	0	0
Gm12610	0	0	5.43	0	0	0	0	24.97	0	0	0	0	0	0	0	0	0	0	0	0	0	0.378566378	0	0	0	3.66	0	0	0	0	0	0	0	0	0	0
Gm12657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.3	15	0	0	0.057900094	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm12709	18.1	6.3	0	0	0	0	0	21.7	0	0	0	0	0	0	0	0	0	0	4.54	2.22	8.93	9.757401779	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm12789	0	0	0	0	0	0	0	0	0	0	0	0	0	25.4	13.4	44.6	0	0	8.18	0	0	0.191889548	0	0	0	0	0	0	0	0	0	0	0	31.8	20.8	0
Gm12794	0	0	0	0	0	0	1.55	0	0	1.7	18.3	0	0	31.7	0	0	0	0	19.1	0	0	0.151926765	0	0	0	0	0	0	0	0	0	0	0	7.84	0	0
Gm128	0	0	0	0	0	0	4.51	0	0	3.37	0	13.1	0	0	0	0	0	0	53.1	17.28	0	0.571211064	0	0	0	0	0	0	0	0	0	0	0	5.61	0	0
Gm12830	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0.581797115	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm12866	0	0	0	0	0	0	6.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.311864125	0	0	0	0	0	0	0	0	0	0	0	33.71	15.6	0
Gm12992	160	145.6	8.89	6.57	8.17	13.2	5.72	6.9	4.92	19.72	25.82	29.07	16.1	21.53	23.2	31.8	41.91	20.03	141.44	67.43	37.23	37.93360628	564	49.1	126	75.2	82.8	17.47	14.43	18.09	23.81	0	0	14.84	30.83	18.21
Gm13003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.3	7.68	0	0.077472669	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.9	0	0	0.278617962	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13032	0	0	0	0	0	0	3.8	0	0	0	18.3	0	0	95.2	0	0	0	0	44.9	10.2	0	0.057480515	0	0	0	0	0	0	0	0	0	0	0	10.7	78	37.2
Gm13034	0	0	0	0	0	0	0	0	0	5.31	0	0	0	12.7	0	0	0	0	0	0	0	0.815358976	0	0	0	0	0	0	0	0	0	0	0	0	11.7	0
Gm13078	0	0	0	0	0	0	0	0	0	6.31	0	0	0	0	0	0	0	0	0	0	0	0.222643823	0	0	0	0	0	0	0	0	0	0	0	4.62	0	0
Gm13083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0.527490492	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.4	7.68	0	0.152981822	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13119	0	0	0	0	0	0	1.86	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0.642725162	0	0	0	0	0	0	0	0	0	0	0	0	18.2	21.7
Gm13125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.3	0	0	0.846824907	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13128	0	0	0	0	0	0	0	0	0	0	0	0	0	7.4	0	0	0	0	0	0	0	0.008244608	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13212	0	0	0	0	0	0	1.91	0	0	0	34	41	0	15.2	12.1	21.8	0	0	0	0	0	0.038946001	0	0	0	0	0	0	0	0	0	0	0	3.78	11	9.29
Gm1322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.961763118	0	0	0	0	0	0	0	0	0	0	0	46.1	0	0
Gm13238	12.8	22.4	27.8	13.5	19.3	8.79	3.84	0	0	8.37	5.24	4.1	0	12.99	0	0	23.94	15.8	27.3	23.7	17.56	18.27208134	0	12.8	12.1	78.3	27.7	31	57.5	0	0	0	0	4.1	4.94	34.79
Gm13288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.4	10.2	0	0.090859399	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13293	0	0	12.89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.2	14.1	25.35	25.67833881	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.5	15.3	8.86	20.52	12.02	12.96677882	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13375	7.59	51.8	8.14	0	26.8	0	2.37	6.98	5.17	0	0	0	0	6.34	12.1	0	10.7	0	4.28	5.76	11.7	12.13968343	0	375.55	223.79	94.62	128.93	18.86	19.6	18.7	54.2	0	0	11.7	6.55	8.26
Gm13446	110.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62.1	136.6	87	92.7	93.38758532	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13483	23.3	23.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.96	9.47	9.716579703	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.8	8.96	0	0.917002359	0	0	0	0	0	0	0	0	0	0	0	0	0	24.8
Gm13497	0	0	0	0	0	0	0	0	0	0	4.19	0	0	0	0	0	0	0	5.45	0	0	0.395672835	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.3	0	0	0.599371716	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.4	15.91663304	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13546	0	0	0	0	0	0	0	0	6.03	5.98	0	0	0	0	0	0	0	0	0	0	0	0.826631133	0	0	0	0	0	0	0	0	0	0	0	11.3	0	0
Gm13547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0.366429059	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13580	0	0	0	0	0	0	0	0	0	0	0	0	0	23.3	0	0	0	0	0	0	0	0.060241165	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.8	20.77977185	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13629	47.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.3	30	43.1	32.49	32.72408634	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54.5	8.32	0	0.744786604	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0.831784696	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13749	10.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.7	0	10.2	0	0.991122637	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.2	0	0	0	0.729573565	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13807	0	15.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.4	0	0	0.643583374	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13830	37.4	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57.22	8.96	5.49	5.977531294	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13889	428.5	594.6	0	0	0	0	3.98	590	6.95	13.7	15.7	0	0	86.7	72.8	27.2	0	82.5	24.9	20.2	18.5	18.74784439	0	36.2	21.2	49.4	18.5	21.8	21.9	0	0	0	0	25	32.5	18.6
Gm13944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.4	34.1	23.7	0	0.347927659	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.18	0	0	0	0	0.783280479	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm14005	0	23.8	20.32	41.06	41.27	13.2	0	0	2.47	0	0	0	0	0	0	0	28.31	7.38	29.03	0	0	0.108703531	0	0	6.98	0	0	0	0	0	0	0	0	9.07	0	0
Gm14015	10.5	6.65	0	0	0	0	0	0	0	0	3.01	0	2.39	0	0	10.9	0	10.67	27.3	12.2	0	0.306475523	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm14023	0	0	0	0	0	0	0	0	0	0	0	13.1	0	0	0	0	0	0	6.82	0	0	0.049624025	0	0	0	0	0	0	0	0	0	0	0	4.03	18.2	0
Gm14057	0	93.8	40.7	15.8	13.4	0	0	75.7	0	2.45	0	0	0	0	0	0	10.7	13.2	30	26.2	16.79	16.91420536	0	0	2.39	12.4	2.51	3.05	3.76	0	0	0	0	8.57	0	6.2
Gm14092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.7	0	0	0.434559613	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm14124	0	0	0	0	0	0	0	0	0	2.12	0	0	17.2	41.2	6.68	0	0	0	10.9	0	7.68	7.983809815	0	0	0	0	0	0	0	0	0	0	0	12.3	27.73	11.53
Gm14137	0	0	62.74	20.27	62.2	16.11	0	0	0	0	0	3.28	0	0	0	0	44.04	0	46.3	10.2	0	0.655417495	0	15.7	0	20.6	0	63.79	73.84	24.4	19.37	0	0	9.07	0	0
Gm14139	0	0	0	0	0	0	0	0	0	5.05	0	0	0	0	0	0	0	0	0	0	0	0.352961638	0	0	0	0	0	0	0	0	0	0	0	14.7	16.4	8.41
Gm14164	0	0	0	0	0	0	0	0	0	0	0	0	0	25.4	0	0	0	0	44.92	0	5.55	6.084100294	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm14169	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.2	23	4.83	5.562606681	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm14204	46.7	453.72	0	0	0	0	0	0	0	0	6.68	2.03	1.9	0	0	0	0	56.37	171.3	97.13	37.19	37.39695399	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm14207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	21.12	0	0.368865809	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm14295	17.9	24.3	3.23	0	0	0	0	0	0	0	0	0	0	8.07	0	12.2	0	5.6	3.14	4.59	7.96	8.593205697	0	0	0	0	0	0	17.8	78.25	27.7	0	0	2.4	1.8	0
Gm14322	33.8	58.8	61.18	29.3	79.05	47.4	5.79	2.87	0	16.98	23.23	8.2	9.79	123.9	37.68	61.31	42.58	26.84	17.18	10.83	15.04	15.08910427	0	0	0	1.88	2.27	3.14	12.08	13.7	5.3	0	0	35.88	35.28	22.09
Gm14325	54.9	79.8	23.7	21.02	17.49	21.7	6.07	2.72	11.5	19.38	21.46	3.28	5.81	65.1	15.17	39.2	52.84	37.09	38.38	19.62	19.85	20.59351223	0	0	0	0	0	10.9	22	3.94	0	0	0	10.86	43.66	16.49
Gm14326	0	0	0	0	0	0	0	0	0	0	0	0	0	31.7	0	0	0	0	0	2.49	3.66	4.340561989	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm14327	0	15.4	0	0	0	0	0	0	0	0	0	0	2	0	0	15.2	0	2.5	0	0	5.34	5.459599986	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm14379	0	0	0	0	0	0	0	12.1	0	0	0	0	0	0	0	0	0	0	0	0	16.5	16.72701005	0	0	13.3	8.24	12	0	0	0	0	0	0	0	0	0
Gm14393	0	12.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.36	5.08	5.155850181	0	0	0	0	0	0	0	0	0	0	0	0	3.38	0
Gm14403	57.2	63	35.9	19.52	55.73	20.6	3.29	56.3	4.11	11.83	16.24	4.59	6.08	93.31	14.9	31.6	31.5	37.11	24.66	47.3	30.47	30.59167684	0	2.02	4.04	2.63	5.21	14.31	20.47	19.61	11	0	0	14.92	21.24	15.21
Gm14461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.75	10.9	0	0	0.4013546	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm14718	0	18.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.695024125	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm14812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.6	0	0	0.747333259	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm14827	16.3	12.6	0	0	0	0	0	0	0	0	2.7	0	2.48	0	0	0	0	24.67	96.3	57.71	21.35	22.02793725	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm15179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.8	0	0	0.941926746	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm15326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.88	10.54508477	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm15328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.3	13.6	10.9	15.37	15.79107332	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm15348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.4	34.1	0	0	0.026976935	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm15350	0	0	0	0	0	0	0	12.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0.029652629	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm15401	0	0	0	0	0	0	0	33	0	10.6	0	1.52	3.63	0	0	0	0	0	38.1	7.68	0	0.269482641	0	0	0	0	0	0	13	0	0	0	0	0	0	0
Gm15408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.6	0	24.5	10.2	9.88	9.949002746	0	0	13.3	0	0	0	17.8	0	0	0	0	0	0	0
Gm15413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.8	0	0	0.016894308	0	0	0	0	0	0	13.93	0	3.12	0	0	0	0	0
Gm15417	0	0	9.84	0	0	0	0	0	1.68	0	0	0	0	0	0	0	16.4	0	53.1	20.46	3.99	4.138607778	0	8.91	8.32	6.77	11.1	0	4.64	0	0	0	0	0	0	0
Gm15421	0	18.2	8.82	0	0	0	0	15.3	0	21.7	0	0	0	0	0	0	0	0	0	8.32	4.02	4.455919526	0	0	0	0	0	0	0	0	0	0	0	0	29.9	10.6
Gm15441	0	9.79	7.12	9.77	0	0	0	0	0	0	24.96	10.94	5.16	4.23	8.5	0	7.97	4.79	51.3	8.96	0	0.165962828	0	0	1.46	0	1.23	1.37	1.83	0	0	0	0	1.51	0	0
Gm15455	0	0	8.14	0	0	0	6.56	0	0	13.17	0	0	0	0	0	0	0	0	0	0	0	0.514730697	0	0	0	0	0	0	0	0	0	0	0	20.84	36.4	0
Gm15471	22.2	47.6	6.7	30.1	18.8	22.3	2.64	5.1	3.17	9.55	15.7	16.4	0	50.8	0	0	36.8	20.4	75	33.3	14.5	14.60225123	0	0	6.42	5.95	7.53	3.44	0	0	0	0	0	14	7.8	58.9
Gm15545	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	4.76	0	50.5	21.76	0	0.01654709	0	0	9.87	4.28	7.55	2.4	3.2	0	0	0	0	3.63	3.72	0
Gm15612	3.5	28.8	0	0	0	0	5.99	48.12	0	0	0	0	0	0	0	0	7.97	0	33.71	3.14	2.86	2.950821125	0	0	11.5	26.8	0	0	0	0	0	0	0	3.46	0	0
Gm15631	26.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.62	0	8.19	16.68	17.09309621	0	0	0	0	0	0	0	0	0	0	0	0	0	0
