	hybase1	hybase1	hybase1	hybase2	hybase2	hybase2	hybase2	hybase2	hybase2	hybase9	hybase9	hybase9	hybase9	hybase9	hybase9	hybase9	hybase9	hybase9	hybase9	hybase10	hybase10	hybase10	hybase10	hybase10	hybase10	hybase32	hybase32	hybase32	hybase41	hybase41	hybase41	hybase41	hybase41	hybase41	hybase45	hybase45
JPH4	0	0	0	0	0	0	0	0	0	0	24.8	0	0	13.15	0	0	13.6	0	0	36.79	38.14	22.75	36.73	42.16	24	0	0	0	0	0	0	0	5.69	0	0	0
JPX	38.5	55.95	12.8	0	0	25.43	8.27	0	0	0	0	0	0	0	6.35	6.88	7.03	0	0	0	13	0	0	0	0	0	0	0	17.7	18.3	6.3	5.88	0	0	0	0
JRK	70.9	64.01	397.7	187.67	304.8	44	89.4	162.2	0	61.1	121.9	87.3	82.7	214.1	39.27	230.08	186.8	129.93	155.49	111.74	137.17	85.23	110.67	108.45	79.62	29.7	35.11	31.38	30.11	31.49	38.12	37.68	29.65	35.26	79.71	99.21
JRKL	52.6	34.2	47.58	74.8	11.6	51.9	59.8	34.2	0	37.28	47.8	132	75.4	59.7	134.86	19.27	51.6	33.9	74.14	54.67	59.03	14.41	49.11	44.29	38.15	0	4.85	2.39	19.71	26.46	14.1	27.31	11.63	25.44	18	8.7
JSRP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.6	5.96	24.8	39.7	23.1	26.5	0	0	0	0	0	0	0	8.23	0	0	0
JTB	10.24	5.75	5.44	13.9	33.4	0	19.88	0	0	9.24	10.12	21.8	19.4	11.09	16.83	33.52	27.2	10.56	11.53	13.1	4.18	12.4	9.12	7.72	16.2	35.53	44.5	5.88	5.78	7.79	4.77	4.17	4.67	7.74	37.6	37.6
JUN	22.67	21.28	88.4	20	92.31	8.93	75.57	199.1	18.94	27.76	57.2	38.09	32.33	37.9	15.04	63.78	40.99	31.57	24.2	22.03	25.32	25.29	19.4	47.1	27.98	33.98	39.82	19.9	13.03	21.41	35.4	16.54	11.23	18.52	116.6	178.51
JUNB	38.6	20.99	154	59.4	133	19.8	46.36	165.1	0	16.33	11.9	21.98	16.95	56	11.01	29.3	15.69	14.57	16.5	30.2	48.5	32.5	36.9	45.6	35.6	57.2	76.8	14.64	9.5	11.35	12.57	10.26	9.84	10.48	246.12	126
JUND	14.9	29.9	298	30.2	817	8.24	19.96	60.8	7.53	12.29	16.95	20.71	21.72	18.9	15.88	33.4	24.4	25.05	22.2	45.1	35	44.12	72.9	39	63.9	102.4	174.12	14.1	6.7	10.32	11.99	17.1	10.24	19.02	388	507
JUP	0	0	0	0	119.2	0	2.51	0	0	0	0	0	0	0	0	2.66	0	0	0	0	0	5.31	0	0	0	8.56	7.18	0	0	0	0	0	0	0	0	0
KAAG1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.88	13.6	9.71	9.88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.4	39.1
KALRN	0	0	0	0	0	0	0	0	0	0	0	12.6	11	0	40.79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.87	17.46
KANK1	62.07	19.39	120	129.18	76.46	49.5	54.58	70.1	0	56.7	66.6	118.4	91	50.52	74.97	50.39	39.47	37.61	39.9	61.3	51.2	35.64	50.3	49.06	28.32	11.63	18.36	0	22.47	40.93	14.16	18.07	0	13.8	16.16	26.36
KANK2	26.9	15.96	1315.2	103.14	372.31	18.4	53.82	115	0	37.25	73.08	22.84	48.69	64.15	41.7	27.1	44.2	55.71	29	136.06	112.8	99.17	100.4	90.36	84.25	31.57	47.55	19.32	27.4	26.71	47.76	26.86	0	0	142.76	317.1
KANK3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.64	0	0	15.97	0	6.67	0	0	7.96	7.16	25.65	15.7	4.17	17.2	407	275.7
KANK4	0	0	0	0	0	8.42	0	0	0	0	0	0	0	0	25.2	0	10.2	0	0	38	46.4	33.6	21.9	45.2	66.2	0	0	0	28.38	14.39	23.2	41.19	0	0	0	9.15
KANSL1	17.8	9.33	56.3	23.4	49.59	9.84	21.91	27.53	0	14.71	40.92	29.5	75.4	21.89	11.62	13.23	13.49	17.37	19.77	15.01	22.42	20.09	13.82	15.3	27.7	9.63	9.49	12.54	11.02	12.24	15.43	14.59	16.74	15.54	20.1	18.82
KANSL1-AS1	0	0	0	0	0	0	0	0	0	0	0	0	8.4	0	0	21.6	0	0	0	0	0	0	0	0	0	0	0	0	2.53	3.37	2.38	4.27	0	2.91	10.1	0
KANSL1L	18.6	14	0	46.2	8.17	9.29	66.3	0	0	13.3	23.12	28.9	22.72	17.2	35.96	0	15.3	44.5	21.29	0	4.92	0	0	0	0	0	0	0	7.33	0	7.96	4.9	0	4.81	0	0
KANSL2	5.72	4.55	0	0	0	0	14.6	0	0	4.24	4.35	14.1	7.73	8.38	49.6	26.79	25.5	9.02	0	0	2.44	0	0	0	0	0	0	0	2.23	2.06	0	0	0	5.27	5.6	7.53
KANSL3	30.8	22.96	20.1	162.46	71.5	69.5	70.58	80.7	0	13.47	13.18	17.72	38.67	18.82	26.38	20.79	15.99	13.54	15.76	11.1	15.62	10.3	14.89	11	8.68	6.67	7.67	13.03	4.98	6.35	6.14	5.75	7.95	13.47	0	1.55
KARS	2.34	1.85	1.75	0	44.23	0	3.15	0	0	5.73	7.08	13.7	4.78	0	4.34	12.3	7.03	5.85	3.32	2.32	4.78	5.82	2.82	5.06	2.39	8.04	12.62	2.48	4.71	3.02	4.52	4.7	4.08	4.52	3.27	5.45
KAT14	32.41	27.32	64.54	52.2	5.79	57	15.7	43.2	0	19.73	15.03	26.49	43.7	17.61	22.5	14.18	13.36	30.8	17.06	24.94	21.54	22.3	20.25	21.49	20.88	3.21	4.19	3.45	5.2	9.71	2.85	9.42	6.66	7.72	4.65	6.89
KAT2A	12.5	7.54	13.6	14.9	305.94	6.98	18.02	64.4	0	3.68	2.28	6.55	3.98	3.86	0	30.62	6.14	12.39	13.38	33.4	21.33	39.4	13.9	20.82	22.35	13.59	27.14	2.71	11.03	10.18	13.38	9.87	12.65	12.61	538.6	183.67
KAT2B	1.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.2	0	0	0	0	0	0	0	0	0	0	0	0	0	3.24	3.47	4.06	11.7	74.2	72
KAT5	3.58	3.95	27.9	3.1	36.8	7.13	10.3	58.4	0	4.19	4.29	22.3	7.32	14.43	5.53	2.66	15.47	23.5	23.42	41.7	27.19	21.85	26.6	22.98	30.2	4.52	12.52	7.63	6.74	9.75	9.24	10.67	10.95	9.25	39.68	44.7
KAT6A	65.11	58.21	284.22	247	222.47	76.98	178.1	170.1	22.08	45.07	92.94	122.79	123.91	68.28	67.75	59.19	113.99	64.72	41.77	37.62	49.04	45.19	38.68	46.81	52.28	15.09	14.08	19.78	27.13	38.13	27.13	21.24	25.18	22.02	21.83	18.85
KAT6B	83.57	46.6	77.24	95.26	158.07	59.33	58.88	50	27	59.41	132.53	123.81	89.65	92.99	61.63	50.39	124.97	68.79	57.64	48.02	47.41	31.57	53.91	46.06	37.43	0	5.63	11.07	43.87	28.09	18.47	23.86	19.39	21.94	39.3	35.87
KAT7	2.95	4.23	7.36	18	23.8	16	15.15	36.7	0	4.67	28.13	8.73	24.44	11.09	10.02	10.2	29.04	4.03	7.97	4.21	7.83	12.26	10.68	10.7	9.67	1.79	0	0	12.59	21.52	11.43	19.66	7.68	24.35	17.2	18.11
KAT8	0	0	0	0	13.6	0	0	0	0	0	0	2.06	4.31	0	2.02	0	0	0	0	0	0	7.08	0	6.84	5.3	5.22	2.52	0	2.42	6.54	4.74	4.96	4.97	7.47	39.1	81.2
KATNA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.57	0	0	0	0	0	0	0	0	0	0	0	0	0	3.24	1.86	2.26	2.25	0	0	2.06	2.71
KATNAL1	3.87	4.33	0	0	0	12.53	0	0	0	13.9	0	0	11.68	18.1	4.34	0	0	4.28	2.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KATNB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.64	3.15	14.4	0	0	0	1.78	1.72	0	3.21	2.54	3.69	7.4	0	4.52	7.11	8.26	9.46	8.95	11.26	35.52	29.77
KATNBL1	14.9	9.79	0	10.5	0	0	7.37	0	0	9.54	16.5	7.12	41.6	17.48	25.23	3.6	17.64	16.22	12.38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KAZALD1	45.63	28.8	330	11.81	71.5	0	26.81	78.8	0	51.42	0	0	60.6	0	0	27.6	32.2	45.8	45.93	219	96.53	162.8	74.6	165.8	85.4	28	80.56	5.72	19.66	12.84	11	12.32	0	0	96.43	164.28
KAZN	9.38	0	14.2	0	0	0	0	0	0	0	0	0	0	0	18.45	0	35.6	0	0	64.3	49.54	37.16	74	62.89	42.7	0	0	0	0	0	3.43	0	0	0	109.51	104.64
KBTBD11	72.4	47.02	369.5	0	0	0	4.16	0	12.1	15.38	0	11.5	0	257.11	79.13	151.19	110.02	83.15	151.11	136.96	207.9	167.82	186.34	186.1	152.13	0	8.48	0	50.87	50.83	79.46	87.81	39.53	31.17	665.02	759.76
KBTBD12	0	0	0	0	0	5.72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KBTBD2	26.79	20.74	47.32	64.9	48.36	42.8	106.89	61.9	0	22.09	36.98	20.61	20.91	31.37	15.43	22.55	14.33	20.91	41.98	27.51	25.65	22.94	42.65	28.3	40.4	2.28	4.2	7.22	18	17	33.53	47.48	19.56	31.73	139	176
KBTBD3	26.69	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KBTBD4	20.42	18.58	22.67	0	12.3	0	32.75	18.8	0	13.35	19.67	19.05	19.55	63.08	34.21	13.48	7.17	30.87	33.2	9.67	26.31	9.61	15.17	21.52	9.49	5.17	5.76	2.92	9.27	10.7	6.99	13.66	7.25	9.69	10.34	11.94
KBTBD6	41.75	28.07	57.9	91.1	31.97	16.23	109.62	20.6	0	31.8	41.19	15.3	46.8	61.64	31.1	54.09	51.3	71.95	38.59	8.04	37.45	8.58	36.72	31.64	20.03	0	0	0	24.03	13.79	17	24.22	0	5.84	15.51	21.79
KBTBD7	50.3	25.6	96.99	96.05	12.3	12.5	102.7	13.4	0	60.9	51	69.28	39.7	46.1	33.32	64.09	82.59	41.79	44.6	20.54	45.54	16.85	40.08	54.81	18.55	0	5.18	0	0	17.42	5.31	35.5	6.75	4.54	9.63	16.21
KBTBD8	22.98	17	30	0	0	0	0	0	0	24.76	46.14	62.5	53.9	113	29.65	0	0	14.6	22.5	8.45	8.4	8.45	4.51	7.18	8.84	0	0	0	4.55	16.39	3.12	9.24	0	0	0	0
KC6	12	0	0	0	0	0	0	0	0	0	0	0	0	0	12.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCCAT211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCMF1	0	0	0	0	0	0	23	0	0	0	0	0	0	1.94	1.82	3.3	18.7	0	0	0	0	6.02	6.84	0	0	0	0	0	3.39	9.17	0	0	0	0	77.7	38.5
KCNA1	0	0	0	0	0	0	0	0	9.87	19.86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNA2	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	45.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.4
KCNA3	0	0	0	0	0	0	0	0	0	0	0	0	0	12.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.5	18.32	14.7	22.36	19.27	20.74	140	107
KCNA5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.9	0	16	0	0	0	0	0	0	0	0	0	0	0	0
KCNA6	0	0	0	0	0	0	0	0	0	77.97	0	0	0	96.8	54.46	0	0	0	0	204.72	89.44	109.38	135.9	121.13	158.54	0	0	0	23.73	23.02	24.66	19.82	5.28	12.4	306.2	189.38
KCNA7	0	0	0	0	0	7.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNAB2	5.86	0	0	0	33.4	0	22.95	0	0	0	0	0	0	17.01	9.08	19.05	16.15	9.56	15.2	7.47	9.27	7.79	3.79	4.54	0	12.56	9.03	0	11.8	13.2	32.6	14.31	6.56	8.68	3.6	19.61
KCNAB3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.52
KCNB1	0	0	11.3	0	0	0	0	0	3.63	0	0	0	0	0	33.3	0	19.5	12.5	0	23.4	71.5	53.96	17.8	26.18	19.62	0	0	0	0	0	0	0	0	0	0	0
KCNB2	57.21	74.44	23.86	0	0	0	0	0	0	6.36	0	0	0	0	10.9	0	0	0	0	20.4	29.3	23	30.1	32.42	22.1	0	0	0	0	0	0	0	0	0	8.63	16.5
KCNC1	31.04	25.11	226.82	0	0	0	0	0	0	10.69	0	0	0	0	16.03	0	0	11.8	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	119.8	140.6
KCNC3	22.9	10.9	21.1	0	0	0	0	0	0	0	0	0	0	32.54	12.7	14.4	5.52	11.8	22.5	26.3	15.86	13.3	11.6	16	10.3	0	0	0	11.6	11	0	5.88	9.45	8.59	84.23	67.04
KCNC4	20.9	8.2	51.95	0	35.37	0	30.57	0	0	8.86	0	0	0	38.82	0	0	0	9.02	71.1	20.69	39.45	27.3	40.46	29.53	27.46	0	18.4	0	18.57	13.25	30.47	21.46	0	0	121.3	131.9
KCND1	0	0	15.7	81.5	26.6	0	16.52	12.1	0	0	0	0	22.1	0	0	0	0	0	18.89	13.1	27.38	42.99	10.9	17.91	35.6	0	0	0	7.13	13.06	8.51	5.75	0	0	18.7	18.31
KCND2	0	0	0	0	0	0	0	0	4.29	0	60	53.11	0	48.42	0	0	0	0	0	11.44	16.84	0	12.31	9.89	0	0	0	0	0	0	0	0	0	0	0	0
KCND3	0	0	0	0	0	0	0	0	15.9	0	0	0	0	0	0	0	0	0	0	0	13	0	0	17.3	0	0	0	0	0	0	0	0	0	0	13	10.4
KCNE1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2	4.95	0	0
KCNE2	32.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNE3	0	0	0	0	0	4.2	0	0	0	0	30.67	0	0	48.8	0	0	0	0	34.2	12	21	17.75	10.1	25.02	33.06	0	0	0	0	0	0	0	4.61	20.27	0	0
KCNE4	0	0	0	0	0	4.89	0	0	0	0	0	11.5	42.02	0	0	0	0	0	30.88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.2	17.69
KCNE5	0	0	0	0	0	0	0	0	0	0	0	0	0	9.76	18.8	0	0	0	0	15.3	17.1	18.6	14.5	19.2	17.1	0	0	0	0	0	9.95	0	0	0	0	0
KCNF1	0	0	0	0	0	0	0	0	0	0	0	0	0	29.8	0	73.7	30	41.6	20.4	81.8	56.3	23.3	111	41.5	34.6	16.24	24	0	0	0	0	0	10.4	9.4	23	26.9
KCNG1	25.33	14.65	120.72	0	0	0	0	0	0	37.55	56.5	34.79	19.84	35.91	35.7	19.59	19.5	18.9	15.88	83.03	97.8	73.66	110.12	93.6	104.6	27.2	51	0	0	0	0	0	0	11	473.6	380
KCNG3	41.52	35.76	50.8	0	0	0	19.27	0	0	0	15.9	0	0	15.91	0	0	0	0	0	49.2	135.31	30.1	57.99	41.6	29.5	0	0	0	0	0	0	0	0	0	255	879
KCNH1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.19	54.95	65.6	51.29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNH2	0	0	0	0	0	0	0	0	18.7	2.94	0	0	0	2.41	0	0	0	0	12.6	7.44	21.27	0	5.06	14.46	0	0	0	0	9.75	6.49	21.24	37.23	0	0	183.88	222.1
KCNH3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.9	0	0	11.4	0	0	25.3	0	0	0	0	7.71	12.8	0	11.8	0	19.48	41.56	40.6
KCNH5	0	0	0	106	65.4	43.03	71.25	48	0	0	0	0	0	0	0	0	0	0	0	0	16.3	0	0	14.6	0	0	0	0	0	0	0	0	0	0	0	0
KCNH6	0	0	0	0	0	22.5	0	0	0	0	0	0	0	0	5.45	0	0	0	0	33.6	34.1	15.9	20.51	31.53	19.9	0	0	0	0	0	0	0	0	0	0	0
KCNH8	0	0	0	0	0	0	0	0	0	0	0	0	0	18.1	14.5	0	0	0	0	0	6.91	8.85	24.6	5.32	7.36	0	0	0	0	0	0	0	0	0	0	0
KCNIP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.99	0	0	0	0	0	17.9	0	0	7.99	0	0	0	0	0	0	0	0	0	0	0	0
KCNIP2	8.73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.3	0	0	0	0	0	0	0	0	0	3.43	14.3
KCNIP2-AS1	13.6	9.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.43	5.66	0	14.59	23.54	0	0	0	0	0	0	0	0	0	13.46	20.72
KCNIP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.3	0	0	6.65	0	0	0	0	3.3	0	0	3.13	0	0	13.88	18.91
KCNJ10	0	0	0	0	0	0	0	0	7.61	0	0	0	0	10.8	0	0	0	0	0	15.33	14.35	0	0	11.1	0	0	0	0	0	0	0	14.1	0	0	0	0
KCNJ11	84.7	43.4	234.8	0	0	6.8	0	0	7.95	66.85	11.6	0	0	37.31	12.7	24.59	28.8	0	50.4	139.3	92.17	66.67	97.2	56.05	120.7	0	0	0	27.33	21.86	32.5	31.01	0	0	287.37	113.63
KCNJ12	68.38	42.57	227.69	0	0	0	20.96	0	0	0	0	0	0	33.5	29.67	0	0	0	0	110.2	100.25	279.23	76.6	172.92	93.3	0	0	0	0	0	0	0	0	0	212.45	210.42
KCNJ13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNJ14	25.54	8.24	11.8	11.9	9.53	0	34.3	0	0	0	0	0	0	0	5.75	14.4	26.3	29.9	36.9	30.7	29.3	17.7	32.8	19.1	29.5	4	5.05	0	0	0	0	12.5	0	13.1	10.1	23.8
KCNJ15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.63	0	0
KCNJ16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.4	14.62	30.51	57.66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNJ2	23.46	0	0	0	0	0	12.5	0	0	12.1	0	12.2	0	10.8	21.78	49.2	36.92	26.4	29.53	20.4	52	35.4	12.3	35.9	82.4	0	0	0	0	0	0	0	0	0	0	9.77
KCNJ2-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.05	0	0	0	31.5	24.8	39	15.9	15	21.3	13.3	0	0	0	0	0	0	0	0	0	13	22.6
KCNJ3	8.6	0	0	0	0	3.74	0	0	31.1	0	0	53.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.1	0
KCNJ4	46.42	8.46	115	0	0	0	0	0	0	0	0	0	0	17.2	3.83	0	0	0	0	159.88	115.41	116.98	114.73	112.27	212	0	0	0	32.7	6.42	45.15	16.1	0	0	224.76	229.37
KCNJ5	0	0	0	0	0	4.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.7	0	0	0	0	0	0	0	0	0	0	0
KCNJ6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.99	8.07	10.4	50.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNJ8	31.04	20.27	34.23	0	0	0	0	0	0	47.65	0	57.63	13.7	10.8	20.15	0	0	11.1	21.6	7.3	7.04	0	0	0	0	0	0	0	0	0	0	0	0	0	24.4	21.1
KCNK1	7.45	6.46	0	5.66	25.2	0	6.91	15.5	0	17.1	24.9	6.66	14.36	8.36	0	4.8	2.36	9.68	13.27	4.27	5.03	4.88	3.75	4.92	9.79	4.8	2.58	0	6.68	6.27	6.98	6.27	0	0	16.78	11.6
KCNK10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.4	0	0	0	0	21.9	27.6	0	28.7	41.3	14.7	0	0	0	0	0	0	0	0	0	0	0
KCNK12	0	0	0	0	0	0	0	0	0	0	0	0	0	15.41	0	0	0	0	0	26.17	22.05	24.56	27.4	49.04	21.23	0	0	0	0	0	0	0	0	0	0	0
KCNK13	37	24.9	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62.9	104	57.5	72.5	113.2	76.6	0	0	0	12.3	0	0	0	15.2	8.59	29.5	15.3
KCNK15	0	0	0	0	0	0	12.41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145.7	100.1
KCNK17	0	0	0	0	0	0	0	0	0	0	0	0	0	12.6	0	0	0	0	0	27.7	7.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNK2	0	0	0	0	0	0	0	0	0	0	0	13.5	16.76	0	0	0	0	0	0	0	19.5	0	15	7.99	0	0	0	0	0	0	0	0	0	0	0	0
KCNK3	0	0	0	0	19.79	6.05	67.8	0	0	0	0	0	27.8	0	0	0	11	34.7	10.95	13.1	0	21.2	0	22.6	39.8	6.67	11.8	0	0	0	0	0	0	0	0	0
KCNK4-TEX40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.2	0	37.4	0	17.32	20.4	41.2	0	6.55	0	0	0	0	0	0	0	24.4	16.48
KCNK5	22.4	18.79	207.1	10.4	20.4	0	23.29	13.6	0	29.2	10.7	0	0	34.05	15.79	0	28.85	22.57	71.38	47.29	50.33	27.26	44.88	30.25	32.41	8.11	13.5	0	18.92	14.7	15.02	13.4	7.31	11.44	44.31	48.2
KCNK6	0	0	0	0	0	0	4.32	0	0	0	12.2	5.55	4.31	37.33	0	66.5	22.9	19.78	26.09	36.85	43.26	78.12	31.59	35.98	124.11	0	3.26	0	17.47	21.11	11.8	13.88	12.39	12.85	35.9	23.2
KCNK7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.9	45.5	0	12.3	38.6	0	0	0	0	0	0	0	0	0	0	0	0
KCNK9	0	0	0	0	0	0	0	0	15.9	0	0	76.18	0	0	0	0	0	0	0	0	16.3	0	0	31.9	0	0	0	0	0	0	0	0	0	0	0	0
KCNMA1	0	0	0	0	0	0	0	0	0	0	0	0	4.06	0	0	0	0	0	0	0	0	0	0	3.99	0	0	0	0	0	0	0	0	0	0	12.2	0
KCNMB2-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNMB3	3.91	15.54	0	0	0	0	0	0	0	0	0	0	0	5.87	0	0	11	9.02	21.58	8.76	15.25	0	13.7	7.88	0	0	0	0	0	0	0	0	0	0	15.1	0
KCNMB4	6.71	5.36	13.6	0	0	2.81	0	0	6.78	0	2.92	0	0	11.79	17.55	0	0	0	0	25.06	28.1	37.74	45.61	22.5	36.98	0	0	0	0	5.5	0	0	0	4.47	69.17	27.08
KCNN1	0	0	11.8	0	0	0	0	0	0	0	0	0	0	12.6	0	0	0	0	0	35.53	41.35	22.81	40.31	42.77	35.2	0	0	0	0	5.81	0	0	0	0	59.3	130.67
KCNN2	8.08	9.79	0	0	0	7.13	0	0	17.3	0	9.96	0	0	31.74	0	0	0	0	0	0	5.15	0	0	4.62	0	0	0	0	0	3.82	0	6.07	0	0	0	0
KCNN3	7.56	0	66.2	0	0	7.77	0	0	0	0	0	0	0	66.84	17.85	0	0	0	0	63.2	118.4	110	26.4	82.12	46.4	0	0	0	11.6	9.17	10.6	11.8	0	0	14.6	18.3
KCNN4	0	0	0	8.83	68.83	0	7.7	35.3	0	0	0	0	0	0	0	88.62	16.71	36.8	8.85	26.3	34.1	0	5.75	20.6	0	23.9	31.7	4	21.55	10.7	6.86	10.74	10.23	9.93	0	0
KCNQ1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.71	7.3	16.95	23.37
KCNQ1OT1	116.87	60.01	13.53	0	0	65.1	0	26.75	0	28.07	18.2	33.41	46.77	36.42	59.78	32.05	51.2	52.01	17.76	5.11	21.95	16.6	7.42	40.67	60.27	0	0	8.34	0	8.12	1.53	1.8	0	2.55	26.46	58.33
KCNQ2	8.34	0	44.6	0	0	0	0	0	7.84	0	0	0	0	19	15.4	0	0	0	0	81.03	73.8	89.69	118.29	93.87	114.1	0	0	0	0	0	0	0	0	0	155.12	240.18
KCNQ3	0	0	0	0	0	0	0	0	0	0	0	0	0	9.03	0	9.59	11	0	0	33.6	37	15.49	8.89	24.11	7.85	0	0	0	0	0	0	0	0	0	0	0
KCNQ4	9.38	0	12.8	10.2	13.6	0	32.1	0	0	0	0	0	0	31.06	7.87	0	0	0	0	33.59	34.03	29.25	66.68	31.84	41.2	0	0	0	0	0	0	0	0	0	71.3	84.8
KCNQ5	94.1	40.1	167	0	0	0	0	0	0	19.7	0	39.2	10.2	27.1	0	10.8	20.4	29.1	21.6	40.9	48.8	21.2	30.1	37.3	0	0	0	5.14	0	0	0	0	3.76	0	36.3	76.81
KCNRG	4.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNS1	0	0	0	0	0	0	0	0	0	0	0	0	0	29.77	0	0	0	0	0	17.5	19.5	11.65	20.51	5.86	67.39	0	0	0	0	0	0	0	0	0	0	0
KCNS3	87.8	8.9	0	0	0	0	0	0	0	23.7	53.11	0	0	46.75	0	0	73	78.63	60.17	44.6	32.45	26.86	37.67	39.11	23.09	0	0	0	0	0	0	0	0	0	0	18.3
KCNT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.3	0	0	0	0	0	0	0	20.04	0	4.98	0	0	0	14.4	17.1
KCNT2	7.03	3.56	0	0	0	0	0	0	0	0	0	0	0	28	13.5	0	0	0	0	3.55	5.96	0	0	5.32	0	0	0	0	0	0	0	0	0	0	0	0
KCNV1	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	13.6	0	26.08	16.1	39.84	56	35.6	39.9	79.31	0	0	0	0	0	0	0	0	0	0	0
KCNV2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.6	0	0	14.6	0	0	0	0	0	0	0	0	0	0	0	12.8
KCP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.5	17.71
