	batch1_group1	batch1_group2	batch1_group3	batch2_group1	batch2_group2	batch2_group3	batch3_group1	batch3_group2	batch3_group3
CDV3	22.05	17.31	17.1	61.3	53.24	19.24	76.03	21.2	0
CDX2	22	18.56	73.72	0	0	0	0	0	0
CDYL	15.39	10.55	36.4	16.07	62.4	13.54	19.54	37.5	0
CDYL2	0	0	0	86.4	465.4	16.95	32.9	42	5.95
CEACAM1	0	0	0	0	0	0	0	0	0
CEACAM19	0	0	0	0	0	0	5.89	0	0
CEACAM21	0	0	0	0	0	0	0	0	0
CEACAM22P	0	0	0	0	0	4.32	0	0	0
CEACAM4	0	0	0	0	0	0	0	0	0
CEACAM5	0	0	0	0	0	5.98	0	0	0
CEACAM6	0	0	0	0	0	0	0	0	0
CEACAM8	0	0	0	0	0	16	0	0	0
CEBPA	17.74	41	739	104	111	45.8	129.22	26.2	0
CEBPA-AS1	51.72	13.8	36.3	0	0	0	0	0	0
CEBPB	11	8.37	5.26	30.41	74.9	3.26	167.37	56	0
CEBPD	27	13.6	128	37.5	657	7.72	29.22	19	0
CEBPE	0	0	0	0	0	0	0	0	0
CEBPG	38.4	33	24.3	51.7	23.05	43.4	30.33	62.88	0
CEBPZ	16.2	13.2	16.01	71.59	72.5	125.6	58.3	37.07	0
CEBPZOS	0	0	0	0	0	15.56	0	0	0
CECR1	0	0	0	0	0	0	0	0	0
CECR2	51.86	36.46	47.6	0	0	0	0	0	0
CECR5	2.88	2.55	4.35	16.6	26.6	0	6.83	0	0
CECR6	0	0	9.81	0	0	0	0	0	0
CECR7	0	0	0	11.6	4.31	0	9.07	0	0
CEL	0	0	0	0	0	0	0	0	0
CELF1	8.43	9.95	7.47	0	42.56	0	12.57	0	0
CELF2	0	0	0	0	0	0	0	0	0
CELF4	23.04	0	0	0	0	0	0	0	0
CELF5	16.4	11.1	0	0	0	0	0	0	0
CELF6	0	0	0	0	0	0	0	0	0
CELSR1	48.3	38.3	514.51	231.8	589.06	39.29	93.68	164.9	0
CELSR2	54.99	72.89	268.62	173	143.02	24.2	74.28	103	47.17
CELSR3	58.44	74.71	376.5	216.09	357.6	91.67	123.78	155.2	15.2
CEMIP	0	0	0	0	0	0	41.9	0	0
CEMP1	0	0	0	0	0	0	2.3	0	0
CEND1	0	0	0	0	0	0	0	0	0
CENPA	3.94	3.93	0	9.85	17.7	0	9.31	0	0
CENPB	15.7	18.26	259	86.5	813	15.77	31.3	96.9	6.91
CENPBD1	47.52	32.95	112	47.02	61.3	36.49	57.63	30.5	0
CENPBD1P1	29.44	18.15	113.51	41.41	33.06	5.9	27.89	38.6	0
CENPC	15.73	12.3	0	11.9	0	0	9.7	0	0
CENPE	33.38	25.41	6	60.55	10.9	0	49.45	0	0
CENPF	24.52	42.04	105.95	143.94	108.15	57.36	75.29	54.52	0
CENPH	1.37	0	0	0	8.85	0	5.1	0	0
CENPI	18.26	10.5	0	9.85	0	0	8.08	0	0
CENPJ	33.93	22.32	28.71	11.2	11.6	0	28.54	0	0
CENPK	0	0	0	0	0	0	0	0	0
CENPL	20.03	15.4	7.38	77.8	20.39	31.5	25.62	36.7	0
CENPM	2.84	0	0	0	21.07	0	9.73	0	0
CENPN	5.03	2.32	0	0	30	26.01	8.2	27.9	0
CENPO	14.52	12.65	94.2	16.5	112.99	6.91	17.7	134	0
CENPP	36.4	11.25	2.72	0	0	0	6.68	0	0
CENPQ	5.21	2.36	0	0	0	0	0	0	0
CENPT	0	1.41	0	0	18.57	0	5.68	0	0
CENPU	9.18	7.74	0	0	0	0	0	0	0
CENPV	0	0	0	9.85	9.53	0	25.6	0	0
CENPW	0	0	0	0	3.86	0	0	0	0
CEP104	6.91	4.59	10.7	0	11.6	24.88	20.62	0	0
CEP112	0	0	0	0	0	0	0	0	0
CEP120	12.4	16.8	0	9.51	0	0	21	0	0
CEP126	105.4	30.37	0	22.8	0	11.91	12.46	0	0
CEP128	9.45	9.57	13.8	0	10.9	0	0	0	0
CEP131	8.43	0	0	0	47.67	0	0	0	0
CEP135	2.58	2.42	0	0	0	7.08	0	0	0
CEP152	36	45	62.48	98.4	0	25.9	49.8	42.87	0
CEP162	30.29	20.01	14.8	11.9	0	0	11.9	0	0
CEP164	6.72	9.29	5.39	11.7	98.73	29.4	11.9	29.8	0
CEP170	35.11	26.53	16.6	51.85	0	22.01	29.71	44.4	0
CEP170B	13.3	26.05	149	56.16	254.91	7.34	32.75	41.5	0
CEP19	27.67	22.99	0	11.6	0	6.26	27.77	0	0
CEP192	31.11	20.6	7.94	32.54	13.6	0	61.1	12.2	0
CEP250	32.8	21.3	331.53	70.16	196.64	0	48	124.9	0
CEP290	24.5	10.25	0	0	0	0	0	0	0
CEP295	50.77	37.5	0	19.33	0	0	23.82	0	0
CEP295NL	0	0	0	0	0	0	0	0	0
CEP350	92.57	67.79	16.87	120.62	5.67	34.6	90.74	18.36	0
CEP41	9.73	0	0	0	0	15.18	0	0	0
CEP44	2.14	0	0	0	0	6.59	2.71	0	0
CEP55	5.1	2.56	0	0	0	0	0	0	0
CEP57	7.03	6.26	1.66	0	0	0	2.76	0	0
CEP57L1	10.8	16.97	2.4	0	0	0	0	0	0
CEP63	10.34	2.45	0	0	0	11.61	4.93	0	0
CEP68	14.4	14.18	10.1	12.2	25.9	16.8	12.1	17.2	0
CEP70	0	0	0	0	0	0	0	0	0
CEP72	0	0	5.24	0	24.87	0	2.11	0	0
CEP76	0	0	0	0	7.49	0	0	0	0
CEP78	13.9	18.47	2.17	0	11.6	0	38.5	0	0
CEP83	11.63	6.93	0	0	0	0	0	0	0
CEP83-AS1	26.2	0	0	0	0	0	0	0	0
CEP85	10.3	9.54	21.79	10.5	20.43	0	17.18	0	0
CEP85L	32.3	33.28	53.8	70.7	9.87	22.9	163.53	25.7	0
CEP89	0	0	0	0	0	0	0	0	0
CEP95	0	0	10.9	0	0	0	0	0	0
CEP97	30.5	22.49	13.18	24.07	0	0	53.12	0	0
CEPT1	3.36	2.61	0	0	0	0	8.22	0	0
CER1	0	0	0	0	0	0	0	0	0
CERCAM	2.71	2.84	0	20.4	27.6	0	4.67	22.7	0
CERK	9.67	5.42	9.43	17.3	10.2	0	53.44	28	0
CERKL	0	0	0	0	0	0	0	0	0
CERS1	12.9	4.69	19.3	0	0	0	0	0	0
CERS2	1.91	1.88	0	6.02	17.9	0	1.8	0	0
CERS3	0	0	0	0	0	0	0	0	0
CERS4	2.95	0	0	0	0	0	0	0	0
CERS5	5.33	3.56	0	21.1	4.99	12.1	8.96	12.1	0
CERS6	2.98	0	0	0	0	0	0	0	0
CERS6-AS1	0	0	0	0	0	0	0	0	0
CES1	0	0	0	0	0	0	0	0	0
CES2	15.91	11.5	67.06	26.96	41.5	16.55	10.2	43.1	0
CES3	16.22	21.34	66.2	0	0	25.5	0	0	0
CES4A	0	0	0	0	0	0	0	0	0
CETN2	8.81	4.71	0	0	0	0	7.51	0	0
CETN3	0	0	0	0	0	0	0	0	0
CFAP126	0	0	0	0	0	0	0	0	0
CFAP157	20.21	12.9	0	9.51	17.7	0	27.9	0	0
CFAP20	2.12	0	0	0	0	0	3.23	0	0
CFAP36	5.31	6.08	0	0	0	0	11.3	0	0
CFAP44	21.43	6.33	0	0	0	0	8.36	0	0
CFAP45	0	0	0	0	0	0	0	0	0
CFAP46	0	0	0	0	0	0	0	0	0
CFAP52	5.73	5.12	0	0	0	0	0	0	0
CFAP53	9.64	0	0	0	0	0	0	0	0
CFAP54	0	0	0	0	0	0	0	0	0
CFAP57	0	0	0	0	0	0	0	0	0
CFAP65	0	0	0	0	0	0	0	0	0
CFAP69	0	0	0	0	0	0	0	0	0
CFAP70	12.87	12	0	0	0	0	0	0	0
CFAP73	5.08	3.91	9.01	0	37.5	0	4.08	7.02	0
CFAP74	7.56	0	0	0	0	0	0	0	0
CFAP77	0	0	0	0	0	0	0	0	0
CFAP97	18.97	24.5	3.73	12.9	0	0	11.5	0	0
CFAP99	0	0	0	0	0	0	0	0	0
CFB	0	0	0	0	0	0	0	0	0
CFD	0	0	0	0	11.6	0	3.32	0	0
CFDP1	2.4	1.96	0	0	21.79	0	0	0	0
CFH	0	0	0	0	0	3.07	0	0	0
CFI	0	0	0	0	0	0	0	0	0
CFL1	0	0	0	4.8	146	0	27	0	2.2
CFL1P1	13.3	0	0	0	0	0	8.78	0	0
CFL2	2.35	1.47	0	0	0	0	2.8	0	0
CFLAR	73.61	39.62	27.89	12.2	16.3	37.86	34.74	0	0
CFP	0	0	0	0	0	0	0	0	0
CFTR	0	0	0	0	0	0	0	0	0
CGGBP1	21.38	19.65	21	11.19	12.26	5.48	17.2	22.38	0
CGN	8.25	9.5	43.3	0	0	0	0	0	0
CGNL1	16.15	17.8	5.89	0	0	2.79	0	0	0
CGREF1	0	0	0	0	0	0	0	0	0
CGRRF1	24.9	19.3	197	46.5	15.7	13.4	113	20.2	0
CH17-340M24.3	5.56	0	0	0	0	0	0	0	0
CH25H	0	0	0	0	0	0	0	0	0
CHAC1	20.6	21	148	110	19.7	60.2	98.7	11	0
CHAC2	7	7.67	0	10.5	0	0	17.14	0	0
CHAD	0	0	0	0	0	0	0	0	0
CHADL	0	0	0	0	0	0	0	0	0
CHAF1A	23.69	26.64	96.87	62.1	143.5	26.4	53.71	91.3	0
CHAF1B	9.39	6.2	2.37	0	13.6	0	5.78	0	0
CHAMP1	68.9	48.02	13.69	134.14	96.6	67.78	23.61	50.97	0
CHCHD1	8.68	8.84	0	35.3	27.93	0	32.65	21.3	0
CHCHD10	0	0	0	0	25.9	0	0	0	0
CHCHD2	0	0	0	2.8	79	0	4.2	6.43	0
CHCHD3	1.77	1.51	0	0	0	0	0	0	0
CHCHD4	9.31	5.18	10.2	0	13.6	0	4.5	0	0
CHCHD5	9.12	0	0	0	0	0	4.49	0	0
CHCHD6	0	0	0	0	8.17	0	0	0	0
CHCHD7	6.95	5.4	0	0	0	0	0	0	0
CHD1	19.55	13.35	0	85.3	9.87	34.16	46.9	10.7	0
CHD1L	0	0	0	0	0	0	0	0	0
CHD2	29.07	16.56	6.56	59.5	24.3	18.12	20.9	32.2	0
CHD3	11.15	28.8	0	3.99	158.85	0	3.18	13.3	0
CHD4	4.47	6.39	2.54	29.83	102.62	3.27	17.6	27.4	0
CHD5	0	0	0	0	0	0	0	0	0
CHD6	49.55	44.49	138.15	100.07	189.39	27.2	64.84	69.7	21.4
CHD7	80.61	70.35	260.24	78.93	266.76	44.44	96.65	95.3	18.17
CHD8	87.6	41.4	201.45	144.1	264.32	31.73	76.3	97.3	0
CHD9	59.04	53.74	190.44	234.9	71.07	92.7	320.54	126.4	11.4
CHDH	33.11	27.06	26.14	0	0	5.92	26.22	0	0
CHEK1	14.67	6	0	0	0	4.41	4.44	0	0
CHEK2	0	0	0	0	0	0	0	0	0
CHEK2P2	0	0	0	0	0	0	0	0	0
CHERP	27.09	23.87	54.6	27.74	190.71	8.64	38.65	37.5	0
CHFR	0	0	0	0	0	0	0	0	0
CHGA	0	15.1	22.8	0	0	0	0	0	0
CHGB	0	0	0	0	0	0	0	0	5.31
CHI3L1	0	0	0	0	0	0	0	0	0
CHIAP2	0	0	0	0	0	7.59	0	0	0
CHIC1	15.74	7.31	0	35.3	0	0	29.2	0	0
CHIC2	0	0	0	0	0	0	0	0	0
CHID1	26	7.46	102	19	33.9	10.8	12.4	20.3	0
CHKA	6.14	2.85	0	0	25.9	0	15.48	25.3	0
CHKB-AS1	4.12	0	0	0	0	0	0	0	0
CHKB-CPT1B	0	0	0	0	23.2	0	3.98	0	0
CHL1	0	0	0	0	0	0	0	0	0
CHM	26.09	19.28	0	23.8	0	11.3	7.93	0	0
CHML	32.59	43.16	69.4	57.6	20.31	82.89	32.5	85.99	0
CHMP1A	11.3	8.71	31.4	12.3	42.9	15.5	31.34	24.3	0
CHMP1B	19.09	14.1	77.4	45.63	64	13.81	42.74	19.1	0
CHMP1B2P	0	0	0	0	0	0	0	0	0
CHMP2A	0	0	0	0	18.4	0	4	0	0
CHMP2B	0	0	0	0	21.1	0	5.86	0	0
CHMP3	7.68	3.12	0	0	27.9	0	0	0	0
CHMP4A	7.48	5.86	21.32	0	10.22	0	11.54	0	0
CHMP4B	1.53	0	0	2.92	36.7	0	11.05	0	0
CHMP4C	0	0	0	0	0	6.05	0	0	0
CHMP5	0	0	0	0	0	4.53	5.1	0	0
CHMP6	24.41	19.76	320.7	30.2	70.09	19.9	38.6	115.9	0
CHMP7	14.23	7.8	6.72	17	0	10.1	18.52	17.1	0
CHN1	0	0	0	0	0	0	0	0	0
CHN2	23.38	0	0	0	0	0	0	0	11.8
CHODL	6.6	12.9	0	0	0	0	0	0	0
CHORDC1	0	0	0	0	4.77	0	5.88	0	0
CHP1	0	0	0	0	8.17	4.32	0	0	0
CHP2	0	0	0	0	0	3.39	0	0	0
CHPF	31.17	18.33	34.07	72.96	145.8	8.67	32.38	171.3	0
CHPF2	43.02	27.86	122.73	131.85	377.83	14.9	76.98	63.1	0
CHPT1	0	0	0	0	10.9	0	0	0	0
CHRAC1	7.08	5.39	0	5.62	14.3	6.69	16.72	6.32	0
CHRD	0	0	0	0	0	0	0	0	0
CHRDL1	0	0	0	0	0	0	0	0	0
CHRFAM7A	0	0	0	0	0	0	0	0	0
CHRM1	0	0	0	0	0	0	0	0	36
CHRM3	0	0	2.41	0	0	9.44	0	0	0
CHRM4	0	0	0	0	0	0	0	0	0
CHRNA1	0	0	0	0	0	0	0	0	0
CHRNA10	29.48	14.7	30.9	0	0	0	0	0	0
CHRNA2	0	0	0	0	0	0	0	0	0
CHRNA3	22.53	6.16	16.32	0	0	0	0	0	0
CHRNA4	0	0	0	0	0	0	0	0	0
CHRNA5	8.57	5.75	2.12	5.82	8.85	19.07	12.66	5.68	0
CHRNA6	0	0	0	0	0	0	0	0	0
CHRNA7	0	0	0	0	0	11.7	0	0	0
CHRNA9	8.86	0	0	0	0	0	0	0	0
CHRNB1	6.54	8.61	5.15	0	0	7.77	8.6	0	0
CHRNB2	0	0	0	0	0	0	0	0	0
CHRNB4	0	0	0	0	0	0	0	0	0
CHRNE	0	0	0	0	0	0	0	0	0
CHRNG	0	0	0	0	0	0	0	0	0
CHST1	0	0	0	0	0	4.92	0	0	10.72
CHST10	15	16.4	130.3	0	0	0	35.81	0	13.8
CHST11	21.3	8.81	6.48	0	10.9	10.4	9.63	0	0
CHST12	77.51	67.34	419.9	178.6	578.82	54	183.3	175	0
CHST13	0	0	0	9.17	11.6	0	11.42	0	0
CHST14	14.4	19.42	337	35.7	266	36.93	51.6	157.3	0
CHST15	38.2	41.68	72.03	0	29.97	0	60.55	0	0
CHST2	31.96	81	198.1	114.6	828.7	30	104.97	68.8	7.61
CHST3	97.84	46.68	139.3	179.1	199.39	43.47	62.18	151.7	0
CHST4	28.22	13.8	0	0	0	0	0	0	0
CHST5	0	0	0	0	0	13.4	0	0	0
CHST6	31.91	26.89	101	0	0	18.63	0	0	0
CHST7	42.09	7.61	21.6	0	0	0	0	0	0
CHST8	14.3	0	11.3	0	0	0	0	0	0
CHST9	57.6	6.83	0	0	0	0	0	0	0
CHSY1	22.52	17.34	144.2	54.03	93.6	27.04	33.08	70.3	0
CHSY3	67.27	44.69	28.39	0	0	0	0	0	0
CHTF18	0	2.67	3.38	0	30.67	0	8.88	0	0
CHTF8	21.68	19.96	64.2	99.6	340.1	59.77	87.4	39.5	13.8
CHTOP	30.62	35.8	17.42	167.78	95.78	40.26	125.6	41.4	9.68
CHUK	0	0	0	0	0	0	0	0	0
CHURC1	3.09	1.68	0	0	0	7.99	0	0	0
CHURC1-FNTB	19.07	13.74	24.2	38.3	36.76	0	43.2	12.9	0
CIAO1	20.39	16.59	8.78	88.2	81.95	24	38.97	45.1	21.4
CIAPIN1	1.45	0	0	0	0	0	2.62	14.6	0
CIART	0	0	0	0	0	0	0	0	0
CIB1	0	0	0	0	5.67	0	8.03	0	0
CIB2	0	0	0	0	0	0	0	0	0
CIC	14.68	9.79	24.9	25.3	114.4	0	21.8	59.9	0
CIDEB	11.5	0	5.76	0	9.53	0	10	0	0
CIDECP	6.5	10.3	0	0	0	0	0	0	0
CIITA	0	0	0	0	0	59.09	0	0	0
CILP2	50.96	30.01	167.5	0	0	0	4.11	0	0
CINP	2.02	0	0	6.57	51.7	0	3.91	0	0
CIPC	16.3	11.6	99.4	23.3	23.8	16	19.9	42.4	4.43
CIR1	13.76	6.68	3.87	0	0	0	5.95	0	0
CIRBP	0	6.47	27.85	5.44	57.9	0	3.95	0	0
CIRBP-AS1	2.49	5.99	53.2	13.6	18.4	0	23.1	14.6	0
CISD1	4.92	3.71	0	9.85	0	0	11.48	0	0
CISD2	0	0	0	0	11.6	0	3.72	0	0
CISD3	4.36	2.69	0	0	27.95	0	17.85	15.6	0
CISH	24.98	25.4	78	13.6	27.2	14.7	16.4	11.3	0
CIT	5.89	2.26	12.14	9.51	75.08	0	10.54	0	0
CITED1	11.5	2.44	4.53	0	0	0	0	0	0
CITED2	27.53	41.89	43.25	59.88	51.7	12.44	26.19	63.6	0
CITED4	11.7	9.79	28.9	57.9	266	10.4	36.78	66.1	0
CIZ1	2.02	0	5.19	0	43.86	0	4.23	0	4.15
CKAP2	21.97	17.37	0	0	0	0	2.77	0	0
CKAP2L	25.36	20.42	6.05	119	0	30.3	68.73	31.62	0
CKAP4	16.8	14.6	113	76.58	521.1	17.6	84.3	60.2	0
CKAP5	8.3	5.31	1.57	4.08	30	0	9.23	22.8	0
CKB	0	0	0	0	75.6	0	1.79	0	4.07
CKLF-CMTM1	5.76	0	0	22.4	35.4	0	8.8	0	0
CKM	0	0	0	0	0	0	0	0	0
CKMT1A	5.65	4.37	0	0	0	0	0	0	0
CKMT1B	3.63	5.15	0	0	0	0	0	0	0
CKMT2-AS1	51.82	16.14	24.62	39.4	0	16.73	30.87	0	0
CKS1B	0	0	0	0	0	0	3.78	0	0
CKS2	1.44	0	0	2.14	7.94	0	1.7	0	0
CLASP1	22.68	21.45	0	17.3	47.84	22	37.51	24.3	0
CLASP2	0	0	0	0	0	0	0	0	0
CLASRP	0	0	0	0	41.55	0	0	0	0
CLCA2	0	0	0	0	0	0	0	0	0
CLCC1	14.58	13.04	8.49	12.9	14.3	4.64	18.41	7.61	0
CLCF1	0	0	0	16.3	59.9	0	19.1	11.7	0
CLCN1	0	0	0	0	0	0	0	0	0
CLCN2	0	0	0	0	0	0	0	0	0
CLCN3	17.63	12.68	0	22.11	0	0	15.29	0	0
CLCN4	0	0	0	0	0	0	10.5	0	0
CLCN5	16.55	23.4	5.84	0	0	0	14.26	0	0
CLCN6	0	0	0	0	0	0	4.68	0	0
CLCN7	4.57	5.06	16.7	22.8	119.9	5.61	34.58	52.5	0
CLCNKA	0	0	0	0	0	0	0	0	0
CLDN1	10.7	0	0	0	0	0	8.78	0	0
CLDN10	0	0	0	0	0	0	0	0	0
CLDN11	0	0	0	0	0	0	0	0	0
CLDN12	33.1	26.4	23.9	151.5	192.7	135.2	90.41	112.2	0
CLDN14	0	0	0	0	0	0	0	0	0
CLDN15	0	0	7.23	0	0	0	0	0	0
CLDN16	0	0	0	0	0	17.3	0	0	0
CLDN18	6.59	7.79	81.4	12.6	10.2	0	12.3	0	0
CLDN19	0	0	0	0	0	14.7	0	0	0
CLDN2	0	0	0	0	0	0	0	0	0
CLDN22	0	0	0	0	0	0	0	0	0
CLDN23	8.08	0	15.2	0	0	0	85	0	0
CLDN3	0	0	0	0	0	0	26.4	0	0
CLDN4	0	0	0	0	0	0	46.48	0	0
CLDN5	0	0	0	0	0	0	0	0	0
CLDN6	0	0	0	0	0	0	0	0	0
CLDN7	0	0	0	0	0	0	2.32	0	0
CLDN9	0	0	0	0	0	0	17.61	0	0
CLDND1	4.61	1.75	0	0	0	0	0	0	0
CLDND2	0	0	0	0	0	0	0	0	0
CLEC10A	0	0	0	0	0	0	0	0	0
CLEC11A	0	0	0	0	0	0	0	0	0
CLEC14A	0	0	0	0	0	0	0	0	0
CLEC16A	41.15	19.43	46.07	75.4	116.1	33.2	74.33	47.3	0
CLEC2B	0	0	0	0	0	0	0	0	0
CLEC2D	17.85	9.29	0	8.83	0	0	0	0	0
CLEC3B	0	0	0	0	0	0	0	0	0
CLEC4E	0	0	0	0	0	0	0	0	0
CLEC4F	13.83	0	0	0	0	0	0	0	0
CLEC4G	0	0	0	0	0	0	0	0	0
CLEC4GP1	0	0	0	0	0	0	0	0	0
CLEC5A	0	0	0	0	0	0	0	0	0
CLEC7A	0	0	0	0	0	16.85	0	0	0
CLGN	8.96	5.6	0	0	0	0	0	0	0
CLHC1	5.05	2.75	0	0	0	0	0	0	0
CLIC1	3.5	3.76	0	2.68	30.99	0	11.81	0	0
CLIC4	5.27	1.62	6.5	0	7.49	0	24.6	0	0
CLIC5	0	0	0	0	0	0	0	0	0
CLIC6	0	0	0	0	0	0	0	0	0
CLINT1	13.38	15.17	26.4	58.3	271.7	25.17	32.4	26.8	19.4
CLIP1	35.12	27.87	32.18	43.55	75.88	21.54	20.22	29.76	3.75
CLIP2	34.9	33.4	132	12.2	37.5	0	36.9	0	0
CLIP3	0	0	0	0	0	0	0	0	0
CLIP4	12.51	7.29	0	9.51	10.9	0	10.8	16	0
CLK1	2.26	0	0	0	0	0	0	0	0
CLK2	2.42	0	0	0	19.73	0	5.87	0	0
CLK3	2.92	0	0	15.6	28.95	0	9.58	0	0
CLMN	17.46	19.6	16.43	0	0	16	0	0	0
CLMP	0	0	0	63.2	36.62	19.86	11.4	13.12	0
CLN3	3.18	2.15	0	11.2	12.9	0	9.59	0	0
CLN5	13.6	15.7	13.3	33.3	0	0	59.5	48.2	0
CLN6	1.49	0	0	0	33.3	0	5.3	0	0
CLN8	26.6	24.1	105.1	111.8	78.06	47.45	86.6	92.4	0
CLNS1A	0	0	0	0	10.2	0	3.97	0	0
CLOCK	6.83	4.25	0	0	0	0	3.93	0	0
CLP1	25.19	19.77	62.18	86.6	89.9	44.9	225.46	67.6	0
CLPB	20.85	14.52	97.79	49.5	125.57	21.39	28.35	123.4	3.76
CLPP	6	2.83	0	0	27.9	0	8.25	0	0
CLPTM1	2.32	0	6.9	0	59.9	0	9.99	0	0
CLPTM1L	10.73	8.49	12.71	12.96	115.39	0	15.11	14.78	0
CLPX	3.18	5.53	0	0	0	0	0	0	0
CLSPN	40.73	30.51	54.98	29.6	26.22	39.29	30.37	6.69	0
CLSTN1	0	0	10.79	0	56.8	0	33.76	0	0
CLSTN2	0	0	0	0	0	0	0	0	0
CLSTN3	8.3	10.1	0	7.81	0	0	17.84	0	0
CLTA	1.43	0	0	0	20.01	0	0	0	0
CLTB	0	0	0	0	171.7	0	75.2	0	0
CLTC	0	0	0	30.2	60.3	5.52	2.14	0	0
CLTCL1	15	9.77	17	22.4	32	9.5	16.1	30.7	0
CLU	5.73	3.47	0	0	75.89	2.41	0	0	3.09
CLUAP1	8.27	7.38	3.23	12.9	12.3	14.32	16.18	16.4	0
CLUH	7.99	4.8	34	4.14	198.2	0	7.32	33.56	0
CLUHP3	2.67	0	0	0	0	0	3.35	0	0
CLUL1	5.34	0	0	0	0	0	0	0	0
CLVS1	0	0	0	0	0	0	0	0	0
CLVS2	28.63	14.02	55.4	0	0	0	0	0	20.56
CLYBL	0	0	0	0	0	0	0	0	0
CMAHP	0	0	0	0	0	0	0	0	0
CMAS	5.8	3.23	13.7	0	0	0	8.03	0	0
CMBL	4.26	4.04	0	0	5.79	2.83	0	0	0
CMC1	2.55	4.56	0	0	0	0	0	0	0
CMC2	4.27	5.16	0	36.6	15	0	38.69	0	0
CMC4	0	0	0	0	0	0	0	0	0
CMIP	0	0	0	0	16.34	0	0	0	0
CMKLR1	0	0	0	0	0	0	0	0	0
CMPK1	0	0	0	0	12.9	0	0	0	0
CMPK2	0	0	0	0	0	0	0	0	0
CMSS1	1.37	1.64	0	0	16	0	5.84	0	0
CMTM1	28	23.5	436	0	78.3	0	30.65	0	0
CMTM2	0	0	0	0	0	0	0	0	0
CMTM3	14.5	7.89	49.3	0	0	0	17.6	0	0
CMTM4	0	0	0	0	0	0	0	0	0
CMTM6	2.14	1.7	0	0	0	0	0	0	0
CMTM7	0	0	0	0	0	0	0	0	0
CMTM8	0	0	3.83	0	0	0	0	0	0
CMTR1	1.98	2.44	4.48	0	4.77	0	43.51	0	0
CMTR2	46	66.82	0	72.8	0	0	168.71	0	0
CMYA5	18.2	0	0	0	0	0	0	0	0
CNBP	0	0	0	0	10.2	24.08	4.87	0	0
CNDP2	10.6	10.7	14.8	0	13.6	0	13.89	90.4	0
CNEP1R1	1.97	0	0	0	0	22.9	0	0	0
CNFN	0	0	0	0	0	0	4.11	0	0
CNGA4	0	0	0	0	0	0	0	0	0
CNIH1	0	0	0	0	0	0	4.05	0	0
CNIH2	0	0	0	0	0	0	0	0	0
CNIH3	25.54	5.79	37.2	0	0	0	0	0	0
CNIH4	3.54	4.11	0	0	0	0	11.1	0	0
CNKSR1	0	0	0	0	0	0	2.44	0	0
CNKSR2	0	0	0	0	0	0	0	0	5.53
CNKSR3	22.12	16.6	55.6	0	20.4	0	28.65	0	0
CNN1	0	0	0	0	0	0	0	0	0
CNN2	0	0	0	0	24.47	0	0	0	0
CNN3	0	0	0	0	0	0	0	0	0
CNNM1	96.9	20.4	74.9	39.4	56.03	11.44	51.98	15.1	0
CNNM2	99.6	52.3	105.42	361.86	253.65	251.9	91.52	113	0
CNNM3	20.9	13.72	126	96.5	435.34	46.01	42.03	104	0
CNNM4	38.08	23.82	78.5	36.86	23.45	0	62.32	0	0
CNOT1	4.18	1.41	0	4.08	10.08	0	8.16	0	0
CNOT10	0	0	0	0	10.2	0	8.78	0	0
CNOT11	4.16	2.83	0	18.3	8.85	0	7.54	0	0
CNOT2	22.9	17.15	17.7	12.4	5.11	6.91	34.72	7.42	13.8
CNOT3	0	0	0	0	40.25	0	2.59	0	0
CNOT4	22.7	11.29	0	11.6	0	10.5	7.58	6.96	0
CNOT6	12.57	9.47	9.62	45.2	61.3	6.48	13.5	28.2	0
CNOT6L	4.41	2.94	0	0	0	0	0	0	0
CNOT7	0	0	0	0	0	0	0	0	0
CNOT8	2.84	3.41	0	3.79	12.9	0	8.34	16.7	0
CNOT9	6.71	6.33	9.56	3.87	30.6	3.17	9.16	32.7	0
CNP	15.09	15.56	85.61	38.94	118.46	3.33	18.19	52.37	4.25
CNPPD1	3.49	0	0	0	0	0	0	0	0
CNPY2	5.88	4.67	0	2.79	46.48	0	8.42	0	0
CNPY3	17.7	10.1	30.4	43.8	71.6	13.4	40.8	65.8	0
CNPY3-GNMT	0	0	0	0	0	0	0	0	0
CNPY4	8.33	7.3	0	0	10.2	0	10.31	0	0
CNR1	0	0	0	0	0	0	0	0	63.57
CNR2	0	0	0	0	0	0	0	0	0
CNRIP1	10.7	0	0	0	0	0	0	0	0
CNST	60.42	26.55	83.69	110.28	32.24	95.1	83.08	74.88	0
CNTD1	0	0	0	0	0	0	0	0	0
CNTFR	0	0	0	0	0	0	0	0	0
CNTLN	22.75	6.79	0	0	0	0	0	0	0
CNTN1	13.4	3.38	0	0	0	0	0	0	0
CNTN2	0	0	0	0	0	0	0	0	6.45
CNTN4	0	0	0	0	0	0	0	0	0
CNTNAP1	0	0	0	0	0	0	0	0	0
CNTNAP2	8.45	2.26	16.2	0	0	6.05	0	0	0
CNTNAP3	4.47	0	0	0	0	0	0	0	0
CNTNAP3B	4.27	0	0	0	0	0	0	0	0
CNTRL	3.1	0	0	0	0	0	0	0	0
CNTROB	8.61	10.71	0	10.2	26.97	0	11.63	6.61	0
COA1	16.1	30.4	38.89	57.3	0	9.14	58.05	26.27	0
COA3	9.82	7.97	8.34	19.8	31.5	4.88	21.77	11.7	12.8
